Payor Name,Corporate Name
DAVID HARRINGTON OIL & GASINC,DAVID H ARRINGTON OIL & GAS INC
DAVIS EXPLORATION,DAVIS EXPLORATION LLC
DAVIS EXPLORATION LLC,DAVIS EXPLORATION LLC
DAVIS OIL & GAS,DAVIS PETROLEUM CORP
"DCOR, L.L.C.",DCOR LLC
DECKER COAL COMPANY,LIGHTHOUSE RESOURCES INC
DECKER OPERATING CO LLC,DECKER OPERATING CO LLC
DEEP GULF ENERGY IILLC,KOSMOS ENERGY LTD
DEEP GULF ENERGY LP,KOSMOS ENERGY LTD
DEEPWATER ABANDONMENT ALTERNATIVES INC,HELIX ENERGY SOLUTIONS GROUP INC
DEEPWATER DEVELOPMENT COMPANY LLC,LLOG EXPLORATION CO LLC
DENBURY ONSHORELLC,DENBURY INC
DERBY ENERGY LLC,DERBY ENERGY LLC
DERBY EXPLORATION LLC,DERBY ENERGY LLC
DESERT EAGLE HOLDING COMPANY LLC,DESERT EAGLE HOLDING COMPANY LLC
DEVON ENERGY OPERATING COL P,DEVON ENERGY CORP
DEVON ENERGY PRODUCTION CO L P,DEVON ENERGY CORP
DEVON ENERGY PRODUCTION CO LP,DEVON ENERGY CORP
DG EXPLORATION INC,DG EXPLORATION INC
DGP ENERGY LLC,DG PETRO OIL & GAS LLC
DIAMOND RESOURCES CO,DIAMOND RESOURCES CO
DIVERSIFIED OIL & GAS LLC,DIVERSIFIED ENERGY CO PLC
DJR OPERATING LLC,DJR ENERGY LLC
DNR OIL & GASINC,DNR OIL & GAS INC
DOE RUN COMPANY,THE RENCO GROUP INC
DOMINION ENERGY QUESTAR PIPELINE LLC,DOMINION ENERGY INC
DORADO OIL COMPANY,DORADO OIL CO
DPOC LLC,DPOC LLC
DUGAN PRODUCTION CORPORATION,DUGAN PRODUCTION CORP
DUKE ENERGY RENEWABLES WIND LLC,DUKE ENERGY CO
E&B NATURAL RESOURCES MANAGEMENT CORP,GALESI GROUP
EAGLE OPERATINGINC,EAGLE OPERATING INC
EARTH POWER RESOURCES,US GEOTHERMAL INC
EARTHSTONE OPERATING LLC,EARTHSTONE ENERGY INC
EC OFFSHORE PROPERTIES INC,EC OFFSHORE PROPERTIES INC
ECHO PRODUCTIONINC,ECHO PRODUCTION INC
ECOPETROL AMERICA INC,ECOPETROL SA
EDGE ENERGY II LLC,EDGE ENERGY II LLC
EGL RESOURCES INC,EGL RESOURCES INC
EIGHTY-EIGHT OIL LLC,TRUE COMPANIES INC
EL PASO NATURAL GAS CO LLC,KINDER MORGAN INC
ELAND ENERGYINC,ELAND ENERGY INC
ELEPHANT OPERATING,ELEPHANT OPERATING LLC
ELK OPERATING SERVICES LLC,ELK PETROLEUM
ELLORA ENERGY INC,EXXON MOBIL CORP
ELLORA OPERATING L P,EXXON MOBIL CORP
ELM RIDGE RESOURCESINC,ELM RIDGE RESOURCES INC
EME WYOMING LLC,ELK MESA ENERGY LLC
EMERALD HOUSE LLC,88 ENERGY LTD
EMERALD OIL INC,EMERALD OIL INC
EMERY COUNTY COAL RESOURCES INC,EMERY COUNTY COAL RESOURCES INC
EMPIRE NEW MEXICO LLC,EMPIRE PETROLEUM CORP
EMPIRE OFFSHORE WIND LLC,EMPIRE OFFSHORE WIND LLC
ENCANA ENERGY RESOURCESINC,OVINTIV INC
ENCANA OIL & GAS USA INC,OVINTIV INC
ENCANA OIL AND GAS USA INC,OVINTIV INC
ENCINO OPERATING LLC,ENCINO OPERATING LLC
ENCORE ENERGY PARTNERS OPERATINGLLC,DENBURY INC
ENCORE OPERATINGL P,ENCORE OPERATING LP
ENDEAVOR ENERGY RESOURCESLP,ENDEAVOR ENERGY RESOURCES LP
ENDURING RESOURCES LLC,ENDURING RESOURCES LLC
ENEL COVE FORTLLC,ENEL SPA
ENERGEN RESOURCES CORPORATION,DIAMONDBACK ENERGY INC
ENERGY PARTNERS LIMITED,ENERGY TRANSFER EQUITY
ENERGY TRANSFER CRUDE MARKETING LLC,ENERGY TRANSFER CRUDE MARKETING LLC
ENERGY XXI GOMLLC,ENERGY XXI GOM LLC
ENERGYQUEST IILLC,ENERGYQUEST II LLC
ENERPLUS RESOURCES USA CORPORATION,ENERPLUS CORP
ENERQUEST OPERATING LLC,ENERQUEST OIL & GAS LLC
ENERVEST OPERATINGL L C,ENERVEST LTD
ENERVEST OPERATINGLLC,ENERVEST LTD
ENI OIL US LLC,ENI SPA
ENI PETROLEUM,ENI SPA
ENI US OPERATING COINC,ENI SPA
ENSIGHT IV ENERGY MANAGEMENT LLC,ENSIGHT IV ENERGY MANAGEMENT LLC
ENSTOR GRAMA RIDGE STORAGE & TRANSLLC,IBERDROLA S A
ENTERPRISE CRUDE OIL LLC,ENTERPRISE PRODUCTS PARTNERS LP
ENVEN ENERGY VENTURES LLC,ENVEN ENERGY CORP
EOG RESOURCESINC,EOG RESOURCES INC
"EOG Y RESOURCES, INC",EOG RESOURCES INC
EP ENERGY E&P COMPANY LP,EL PASO E & P MANAGEMENT INC
EPIC ENERGY LLC,EPIC ENERGY LLC
EPL OIL & GASINC,ENERGY XXI LTD
EQUINOR ENERGY LP,EQUINOR ASA
EQUINOR USA E&P INC,EQUINOR ASA
EQUITABLE RESOURCES EXPL,EQUITABLE RESOURCES EXPLORATION
EVEREST OIL & GAS LLC,EVEREST OIL & GAS LLC
EVERGREEN NATURAL RESOURCES LLC,EVERGREEN NATURAL RESOURCES LLC
EVERTSON OPERATING COMPANY INC,EVERTSON COMPANIES
EVOLUTION PETROLEUM CORP,EVOLUTION PETROLEUM CORP
EXARO ENERGY III LLC,EXARO III ENERGY LLC
EXCO OPERATING COMPANY LP,EXCO RESOURCES INC
EXCO-HGI JV ASSETS LLC,EXCO RESOURCES INC
EXTRACTION OIL GAS LLC,CIVITAS RESOURCES INC
EXXEL ENERGY USA INC,XXL ENERGY
EXXON MOBIL CORP,EXXON MOBIL CORP
EXXON MOBIL CORPORATION,EXXON MOBIL CORP
EXXONMOBIL PIPELINE COMPANY,EXXON MOBIL CORP
F.F. FOSTER & ASSOCIATES INC,F F FOSTER & ASSOCIATES INC
FAE II OPERATING LLC,FAE II OPERATING LLC
FAIR OILLC,FAIR OIL LC
FAIRWAY RESOURCES OPERATING III LLC,FAIRWAY RESOURCES OPERATING III LLC
FALKIRK MINING COMPANY,NORTH AMERICAN COAL CORP
FAMILY TREE OIL & GAS,FAMILY TREE OIL & GAS
FARMERKENNETH K,FARMER KENNETH K
FARRELL-COOPER MINING CO,FARRELL-COOPER MINING CO
FARRELL-COOPER MINING COMPANY,FARRELL-COOPER MINING CO
FASKEN OIL AND RANCHLTD,FASKEN OIL AND RANCH LTD
FDL OPERATING LLC,FLEUR DE LIS ENERGY LLC
FEATHERSTONE DEVELOPMENT CORP,FEATHERSTONE DEVELOPMENT CORP
FEATHERSTONE DEVELOPMENT CORPORATION,FEATHERSTONE DEVELOPMENT CORP
