period,calendar_year,fiscal_year,month,month_long,fiscal_month,period_date,location_name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,commodity,product,revenue,duplicate_no,row_number
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Gas,"",13123.04,0,161
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",NGL,"",1582.93,0,162
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Oil,"",520176.98,0,163
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Oil & Gas,"",10333682.71,0,164
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Sulfur,"",12776.04,0,165
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil & Gas,"",21362363,0,166
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,"",240885671.11,0,167
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",NGL,"",21019807.95,0,168
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,"",346569622.5,0,169
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Other Products,"",66145.62,0,170
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",10286693.85,0,171
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil & Gas,"",3964164,0,172
