Date,Calendar Year,Corporate Name,Revenue Agency Type,Revenue Agency,Revenue Type,Commodity,Revenue
01/01/2018,2018,CYRQ ENERGY INC,ONRR - Other Revenues,ONRR,Other Revenues,N/A,3272.90
01/01/2018,2018,CYRQ ENERGY INC,ONRR - Royalties,ONRR,Royalties,Geothermal,62991.89
01/01/2018,2018,CYRQ ENERGY INC,ONRR/BLM - Rents,ONRR/BLM,Rents,Geothermal,84818.00
01/01/2018,2018,DAJIN RESOURCES US CORP,BLM - Permit Fees,BLM,Permit Fees,Geothermal   ,190.00
01/01/2018,2018,DAJIN RESOURCES US CORP,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,381546.00
01/01/2018,2018,DANIEL R BLEAK,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,307675.00
01/01/2018,2018,DARLING GEOMATICS,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,119589.00
01/01/2018,2018,DECONCINI MCDONALD YETWIN & LACY P C,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,289725.00
01/01/2018,2018,DEVON ENERGY CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/A,679.00
01/01/2018,2018,DIAMONDBACK DISPOSAL SVCS INC,BLM - Permit Fees,BLM,Permit Fees,Mineral Materials,172021.10
01/01/2018,2018,DIAMONDBACK ENERGY INC,ONRR - Other Revenues,ONRR,Other Revenues,N/A,243.00
01/01/2018,2018,CRUX1 LLC,ONRR - Royalties,ONRR,Royalties,Oil,4815508.32
01/01/2018,2018,CROWHEART ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Gas,6081657.83
01/01/2018,2018,CRUX1 LLC,ONRR - Royalties,ONRR,Royalties,Gas,1991033.96
01/01/2018,2018,DCOR LLC,ONRR - Royalties,ONRR,Royalties,Gas,1197509.69
01/01/2018,2018,DCP MIDSTREAM LP,ONRR - Royalties,ONRR,Royalties,Gas,643584.91
01/01/2018,2018,DENBURY RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Gas,371145.05
01/01/2018,2018,DEVON ENERGY CORP,ONRR - Royalties,ONRR,Royalties,Gas,24564538.70
01/01/2018,2018,DIAMONDBACK ENERGY INC,ONRR - Royalties,ONRR,Royalties,Gas,45257.56
01/01/2018,2018,DJ SIMMONS CO,ONRR - Royalties,ONRR,Royalties,Gas,404600.73
01/01/2018,2018,DJR ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Gas,497344.16
01/01/2018,2018,CROWHEART ENERGY LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,10356.00
01/01/2018,2018,CRUX1 LLC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,51366.03
01/01/2018,2018,CYRQ ENERGY INC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,999.79
01/01/2018,2018,DC ENERGY LLC DOMESTIC LTD LIA,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,165000.00
01/01/2018,2018,DCOR LLC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,33958.64
01/01/2018,2018,DCP MIDSTREAM LP,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,96.50
01/01/2018,2018,DENBURY RESOURCES INC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,34238.93
01/01/2018,2018,DENBURY RESOURCES INC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,39778.50
01/01/2018,2018,DEVON ENERGY CORP,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,2880123.46
01/01/2018,2018,DEVON ENERGY CORP,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,9554790.70
01/01/2018,2018,DAKOTA WESTMORELAND CORP,ONRR - Royalties,ONRR,Royalties,Coal,447041.54
01/01/2018,2018,DAKOTA WESTMORELAND CORP,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,36219.44
01/01/2018,2018,DANA MINING CO OF PENNSYLVANIA,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,117987.55
01/01/2018,2018,DOMINION PRODUCTION CO LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Wind,676794.00
01/01/2018,2018,DUGAN PRODUCTION CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/A,1215.00
01/01/2018,2018,DUKE CITY REDI-MIX,BLM - Permit Fees,BLM,Permit Fees,Mineral Materials,202319.40
01/01/2018,2018,ELK PETROLEUM LTD,ONRR - Other Revenues,ONRR,Other Revenues,N/A,243.00
01/01/2018,2018,ELM RIDGE RESOURCES INC,ONRR - Other Revenues,ONRR,Other Revenues,N/A,872.00
01/01/2018,2018,ENCANA CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/A,1651.00
01/01/2018,2018,ENDURING RESOURCES LLC,ONRR - Other Revenues,ONRR,Other Revenues,N/A,486.00
01/01/2018,2018,DUGAN PRODUCTION CORP,ONRR - Royalties,ONRR,Royalties,Gas,2363966.86
01/01/2018,2018,ECOPETROL SA,ONRR - Royalties,ONRR,Royalties,Gas,279437.68
01/01/2018,2018,ELAND ENERGY INC,ONRR - Royalties,ONRR,Royalties,Gas,18304.80
01/01/2018,2018,ELK PETROLEUM LTD,ONRR - Royalties,ONRR,Royalties,Gas,2048.85
01/01/2018,2018,ELLORA ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Gas,4260069.77
01/01/2018,2018,ELM RIDGE RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Gas,291518.08
01/01/2018,2018,ENCANA CORP,ONRR - Royalties,ONRR,Royalties,Gas,4549147.06
01/01/2018,2018,ENDEAVOR ENERGY RESOURCES LP,ONRR - Royalties,ONRR,Royalties,Gas,98366.22
01/01/2018,2018,ENDURANCE PROPERTIES INC,ONRR - Royalties,ONRR,Royalties,Gas,420002.77
01/01/2018,2018,ENDURING RESOURCES LLC,ONRR - Royalties,ONRR,Royalties,Gas,6914926.25
01/01/2018,2018,ENDURO OPERATING LLC,ONRR - Royalties,ONRR,Royalties,Gas,22573.74
01/01/2018,2018,DOMINION PRODUCTION CO LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,117565.00
01/01/2018,2018,DPOC LLC,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,109305.00
01/01/2018,2018,DPOC LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,120.00
01/01/2018,2018,DUGAN PRODUCTION CORP,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,61730.00
01/01/2018,2018,DUGAN PRODUCTION CORP,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,49474.89
01/01/2018,2018,DUGAN PRODUCTION CORP,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,24446.50
01/01/2018,2018,ECOPETROL SA,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,289551.60
01/01/2018,2018,ECOPETROL SA,ONRR/BLM - Bonus,ONRR/BLM,Bonus,Oil & Gas,3908000.00
01/01/2018,2018,ECOPETROL SA,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,345600.00
01/01/2018,2018,ELAND ENERGY INC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,17460.00
01/01/2018,2018,ELK PETROLEUM LTD,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,1761.00
01/01/2018,2018,ELLORA ENERGY LLC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,122666.87
01/01/2018,2018,ELLORA ENERGY LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,306.00
01/01/2018,2018,DOS REPUBLICAS COAL PARTNERSHIP,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,635866.81
01/01/2018,2018,DRUMMOND CO INC,ONRR - Royalties,ONRR,Royalties,Coal,2812395.70
01/01/2018,2018,DRUMMOND CO INC,ONRR/BLM - Rents,ONRR/BLM,Rents,Coal,4830.00
01/01/2018,2018,DRUMMOND CO INC,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,253609.06
01/01/2018,2018,EAGLE RIVER COAL LLC,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,264961.54
01/01/2018,2018,ELK RUN COAL CO INC,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,101846.02
01/01/2018,2018,ENEL GREEN POWER NORTH AMERICA INC,ONRR - Civil Penalties,ONRR,Civil Penalties,N/A,14231.00
01/01/2018,2018,ENEL GREEN POWER NORTH AMERICA INC,ONRR - Other Revenues,ONRR,Other Revenues,N/A,3197.90
01/01/2018,2018,ENEL GREEN POWER NORTH AMERICA INC,ONRR - Royalties,ONRR,Royalties,Geothermal,336318.70
01/01/2018,2018,ENEL GREEN POWER NORTH AMERICA INC,ONRR/BLM - Rents,ONRR/BLM,Rents,Geothermal,85303.00
01/01/2018,2018,ENERGY FUELS RESOURCES USA INC,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,194215.00
01/01/2018,2018,ENERGY TRANSFER EQUITY,ONRR - Other Revenues,ONRR,Other Revenues,N/A,243.00
01/01/2018,2018,ENERPLUS RESOURCES CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/A,243.00
01/01/2018,2018,EOG RESOURCES INC,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,17596.00
01/01/2018,2018,EOG RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Other Commodities,8630.91
01/01/2018,2018,EON NRG LTD,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,2756.00
01/01/2018,2018,EP ENERGY E&P CO LP,ONRR - Other Revenues,ONRR,Other Revenues,N/A,729.00
01/01/2018,2018,EP MINERALS LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,134474.00
01/01/2018,2018,EQUINOR ASA,ONRR - Other Revenues,ONRR,Other Revenues,N/A,2673.00
01/01/2018,2018,EQUINOR ASA,ONRR/BLM - Rents,ONRR/BLM,Rents,Wind,238050.00
01/01/2018,2018,ERWIN THOMPSON FAILLERS,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,212195.00
01/01/2018,2018,EUREKA MOLY LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,218860.00
01/01/2018,2018,EON NRG LTD,ONRR - Royalties,ONRR,Royalties,Oil,76217.41
01/01/2018,2018,ENEL GREEN POWER NORTH AMERICA INC,ONRR - Royalties,ONRR,Royalties,Gas,122512.31
01/01/2018,2018,ENERGY TRANSFER EQUITY,ONRR - Royalties,ONRR,Royalties,Gas,11385.85
01/01/2018,2018,ENERPLUS RESOURCES CORP,ONRR - Royalties,ONRR,Royalties,Gas,8350.59
01/01/2018,2018,ENERQUEST OPERATING LLC,ONRR - Royalties,ONRR,Royalties,Gas,42708.11
01/01/2018,2018,ENSIGHT IV ENERGY MANAGEMENT LLC,ONRR - Royalties,ONRR,Royalties,Gas,903660.67
01/01/2018,2018,EOG RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Gas,50926930.27
01/01/2018,2018,EP ENERGY E&P CO LP,ONRR - Royalties,ONRR,Royalties,Gas,14508.80
01/01/2018,2018,EPIC ENERGY SERVICES LLC,ONRR - Royalties,ONRR,Royalties,Gas,372663.84
01/01/2018,2018,EQUINOR ASA,ONRR - Royalties,ONRR,Royalties,Gas,4306424.57
01/01/2018,2018,ESCALERA RESOURCES CO,ONRR - Royalties,ONRR,Royalties,Gas,468447.48
01/01/2018,2018,ENDURO OPERATING LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,26376.00
01/01/2018,2018,ENEL GREEN POWER NORTH AMERICA INC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,12000.00
