Date,Fund Type,Local Recipient,Recipient,Source,Land Category,State,County,FIPS Code,Revenue Type,Disbursement
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Royalties,16756582.56
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Royalties,877.09
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Rents & Bonuses,502.69
10/01/2018,State,County,State and local governments,Onshore,Onshore,Idaho,Cassia,"16031",Other Distributions,1248.62
10/01/2018,State,County,State and local governments,Onshore,Onshore,Idaho,Cassia,"16031",Sequestration,1061.55
10/01/2018,State,State,State and local governments,Onshore,Onshore,Missouri,"","",Royalties,180138.60
10/01/2018,State,State,State and local governments,Onshore,Onshore,Missouri,"","",Rents & Bonuses,-224.89
10/01/2018,State,State,State and local governments,Onshore,Onshore,Missouri,"","",Other Distributions,-674.66
10/01/2018,State,State,State and local governments,Onshore,Onshore,Missouri,"","",Sequestration,-11112.82
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Louisiana,"","",Rents & Bonuses,4562.46
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Louisiana,"","",Royalties,210020.34
10/01/2018,State,County,State and local governments,Onshore,Onshore,Colorado,Gunnison,"08051",Rents & Bonuses,6265.50
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Pershing,"32027",Other Distributions,2261.25
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Pershing,"32027",Rents & Bonuses,590
10/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Sequestration,38163.62
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Royalties,2801468.97
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Other Distributions,707477.74
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Royalties,4193339.40
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Rents & Bonuses,84342.00
10/01/2018,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Royalties,16623964.02
10/01/2018,Forest Service,"",Other funds,Onshore,Onshore,"","","",Royalties,5987.54
