Fiscal Year,Fund Type,Source,State,Disbursement
1991,State and local governments,Onshore,California,"$27,936,020.00 "
1991,State and local governments,Onshore,Colorado,"$57,943,857.00 "
1991,State and local governments,Offshore,Florida,"$15,517.00 "
1991,State and local governments,Onshore,Florida,"$48,301.00 "
1991,State and local governments,Onshore,Idaho,"$1,892,709.00 "
1991,State and local governments,Onshore,Kansas,"$921,369.00 "
1991,State and local governments,Offshore,Louisiana,"$13,505,179.00 "
1991,State and local governments,Onshore,Louisiana,"$327,840.00 "
1991,State and local governments,Onshore,Michigan,"$668,967.00 "
1991,State and local governments,Offshore,Mississippi,"$78,603.00 "
1991,State and local governments,Onshore,Mississippi,"$114,896.00 "
1991,State and local governments,Onshore,Montana,"$23,226,095.00 "
1991,State and local governments,Onshore,Nebraska,$74.00 
1991,State and local governments,Onshore,Nevada,"$9,227,998.00 "
1991,State and local governments,Onshore,New Mexico,"$107,844,578.00 "
1991,State and local governments,Onshore,North Dakota,"$5,976,826.00 "
1991,State and local governments,Onshore,Ohio,"$2,819.00 "
1991,State and local governments,Onshore,Oklahoma,"$1,716,120.00 "
1991,State and local governments,Onshore,Oregon,"$260,958.00 "
1991,State and local governments,Onshore,South Dakota,"$592,310.00 "
1991,State and local governments,Offshore,Texas,"$13,854,522.00 "
1991,State and local governments,Onshore,Texas,"$22,329.00 "
1991,State and local governments,Onshore,Utah,"$32,254,173.00 "
1991,State and local governments,Onshore,Virginia,"$18,814.00 "
1991,State and local governments,Onshore,Washington,"$231,464.00 "
1991,State and local governments,Onshore,Wisconsin,$102.00 
1991,State and local governments,Onshore,Wyoming,"$196,931,389.00 "
1991,U.S. Treasury & Other Government Agencies,,,"$2,291,085,000.00 "
1992,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1992,Land and Water Conservation Fund,Offshore,,"$887,926,000.00 "
1992,Native American tribes and individuals,Onshore,,"$170,378,000.00 "
1992,Reclamation Fund,Onshore,,"$328,081,000.00 "
1992,State and local governments,Offshore,Alabama,"$2,939,397.00 "
1992,State and local governments,Onshore,Alabama,"$995,896.00 "
1992,State and local governments,Offshore,Alaska,"$9,676,943.00 "
1992,State and local governments,Onshore,Alaska,"$7,743,902.00 "
1992,State and local governments,Onshore,Arizona,"$124,105.00 "
1992,State and local governments,Onshore,Arkansas,"$2,555,802.00 "
1992,State and local governments,Offshore,California,"$23,201,135.00 "
1992,State and local governments,Onshore,California,"$24,310,905.00 "
1992,State and local governments,Onshore,Colorado,"$44,558,138.00 "
1992,State and local governments,Offshore,Florida,"$19,619.00 "
1992,State and local governments,Onshore,Florida,"$79,238.00 "
1992,State and local governments,Onshore,Idaho,"$1,625,146.00 "
1992,State and local governments,Onshore,Kansas,"$1,113,662.00 "
1992,State and local governments,Offshore,Louisiana,"$13,734,055.00 "
1992,State and local governments,Onshore,Louisiana,"$376,142.00 "
1992,State and local governments,Onshore,Michigan,"$764,150.00 "
1992,State and local governments,Offshore,Mississippi,"$152,100.00 "
1992,State and local governments,Onshore,Mississippi,"$9,813.00 "
