Date,Land Class,Land Category,Commodity,Volume
03/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39897703
03/01/2006,Federal,Offshore,Gas Prod Vol (mcf),247569174
03/01/2006,Federal,Onshore,Gas Prod Vol (mcf),293759799
03/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8236348
03/01/2006,Federal,Onshore,Coal Prod Vol (tons),35033102
04/01/2006,Federal,Offshore,Gas Prod Vol (mcf),245949531
04/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39533805
04/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27306020
04/01/2006,Native American,Onshore,Oil Prod Vol (bbl),921974
04/01/2006,Native American,Onshore,Coal Prod Vol (tons),2300077
04/01/2006,Federal,Onshore,Gas Prod Vol (mcf),280008406
04/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7896631
04/01/2006,Federal,Onshore,Coal Prod Vol (tons),36760830
05/01/2006,Native American,Onshore,Oil Prod Vol (bbl),946679
05/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28221059
05/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42632100
05/01/2006,Federal,Offshore,Gas Prod Vol (mcf),263859110
05/01/2006,Federal,Onshore,Coal Prod Vol (tons),39222190
05/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8154594
05/01/2006,Federal,Onshore,Gas Prod Vol (mcf),285742670
05/01/2006,Native American,Onshore,Coal Prod Vol (tons),2448381
06/01/2006,Native American,Onshore,Oil Prod Vol (bbl),911708
06/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27187391
06/01/2006,Federal,Onshore,Gas Prod Vol (mcf),278446271
06/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7845829
06/01/2006,Federal,Onshore,Coal Prod Vol (tons),38664425
06/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42325052
06/01/2006,Federal,Offshore,Gas Prod Vol (mcf),254684180
06/01/2006,Native American,Onshore,Coal Prod Vol (tons),1765339
07/01/2006,Native American,Onshore,Coal Prod Vol (tons),2149924
07/01/2006,Federal,Offshore,Gas Prod Vol (mcf),263141517
07/01/2006,Federal,Onshore,Gas Prod Vol (mcf),289244476
07/01/2006,Federal,Offshore,Oil Prod Vol (bbl),45032280
07/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8061009
07/01/2006,Federal,Onshore,Coal Prod Vol (tons),38606766
07/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28036510
07/01/2006,Native American,Onshore,Oil Prod Vol (bbl),953536
08/01/2006,Federal,Onshore,Coal Prod Vol (tons),39664527
08/01/2006,Native American,Onshore,Oil Prod Vol (bbl),966677
08/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27988195
08/01/2006,Federal,Onshore,Gas Prod Vol (mcf),290272020
08/01/2006,Federal,Offshore,Oil Prod Vol (bbl),45695407
08/01/2006,Federal,Offshore,Gas Prod Vol (mcf),257602688
08/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8116789
08/01/2006,Native American,Onshore,Coal Prod Vol (tons),2390795
09/01/2006,Federal,Offshore,Oil Prod Vol (bbl),41877208
09/01/2006,Federal,Onshore,Gas Prod Vol (mcf),279308593
09/01/2006,Federal,Offshore,Gas Prod Vol (mcf),244847240
09/01/2006,Native American,Onshore,Gas Prod Vol (mcf),26769255
09/01/2006,Native American,Onshore,Coal Prod Vol (tons),2307367
09/01/2006,Native American,Onshore,Oil Prod Vol (bbl),942223
09/01/2006,Federal,Onshore,Coal Prod Vol (tons),35609815
09/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7865511
10/01/2006,Native American,Onshore,Coal Prod Vol (tons),2204949
10/01/2006,Federal,Onshore,Gas Prod Vol (mcf),302650457
10/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8131133
10/01/2006,Federal,Onshore,Coal Prod Vol (tons),37555671
10/01/2006,Federal,Offshore,Gas Prod Vol (mcf),250483121
10/01/2006,Federal,Offshore,Oil Prod Vol (bbl),43792435
10/01/2006,Native American,Onshore,Oil Prod Vol (bbl),948250
10/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27633859
11/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42201842
11/01/2006,Native American,Onshore,Coal Prod Vol (tons),2244728
11/01/2006,Native American,Onshore,Oil Prod Vol (bbl),953042
11/01/2006,Native American,Onshore,Gas Prod Vol (mcf),26784196
11/01/2006,Federal,Onshore,Coal Prod Vol (tons),36102415
11/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8055970
11/01/2006,Federal,Onshore,Gas Prod Vol (mcf),296269577
11/01/2006,Federal,Offshore,Gas Prod Vol (mcf),243752134
12/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8273400
12/01/2006,Federal,Onshore,Gas Prod Vol (mcf),308356066
12/01/2006,Federal,Offshore,Gas Prod Vol (mcf),248599386
12/01/2006,Federal,Onshore,Coal Prod Vol (tons),39046813
12/01/2006,Federal,Offshore,Oil Prod Vol (bbl),43824040
12/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27108772
12/01/2006,Native American,Onshore,Oil Prod Vol (bbl),888321
12/01/2006,Native American,Onshore,Coal Prod Vol (tons),2943805
01/01/2007,Federal,Onshore,Gas Prod Vol (mcf),305332650
01/01/2007,Federal,Offshore,Gas Prod Vol (mcf),242907928
01/01/2007,Native American,Onshore,Oil Prod Vol (bbl),879890
01/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26456052
01/01/2007,Federal,Onshore,Coal Prod Vol (tons),37755352
01/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8194201
01/01/2007,Federal,Offshore,Oil Prod Vol (bbl),43836645
01/01/2007,Native American,Onshore,Coal Prod Vol (tons),2289888
02/01/2007,Federal,Onshore,Gas Prod Vol (mcf),275110089
02/01/2007,Federal,Onshore,Oil Prod Vol (bbl),7542451
02/01/2007,Federal,Onshore,Coal Prod Vol (tons),32513916
02/01/2007,Native American,Onshore,Coal Prod Vol (tons),2044439
02/01/2007,Native American,Onshore,Gas Prod Vol (mcf),24228181
02/01/2007,Native American,Onshore,Oil Prod Vol (bbl),835822
02/01/2007,Federal,Offshore,Gas Prod Vol (mcf),220205631
02/01/2007,Federal,Offshore,Oil Prod Vol (bbl),39037676
03/01/2007,Federal,Offshore,Oil Prod Vol (bbl),41883453
03/01/2007,Native American,Onshore,Coal Prod Vol (tons),2488982
03/01/2007,Native American,Onshore,Oil Prod Vol (bbl),959371
03/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26903759
03/01/2007,Federal,Offshore,Gas Prod Vol (mcf),245248566
03/01/2007,Federal,Onshore,Gas Prod Vol (mcf),309048860
03/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8342106
03/01/2007,Federal,Onshore,Coal Prod Vol (tons),34422978
04/01/2007,Federal,Offshore,Gas Prod Vol (mcf),239941518
04/01/2007,Federal,Onshore,Gas Prod Vol (mcf),296285520
04/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8144717
04/01/2007,Federal,Onshore,Coal Prod Vol (tons),37858890
04/01/2007,Native American,Onshore,Gas Prod Vol (mcf),25929709
