Production Date,Land Class,Land Category,Commodity,Volume
07/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"26,058,031"
07/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"4,886,516"
08/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"106,372,472"
08/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"50,732,254"
08/01/2016,Federal,Onshore,Coal Prod Vol (ton),"29,500,444"
08/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"265,869,100"
08/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"13,895,687"
08/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,385,942"
08/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"26,562,762"
08/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"4,746,226"
09/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"98,150,292"
09/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"45,793,968"
09/01/2016,Federal,Onshore,Coal Prod Vol (ton),"27,801,819"
09/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"269,688,606"
09/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"13,394,289"
09/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,093,319"
09/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"26,031,698"
09/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"4,677,398"
10/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"104,778,383"
10/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"50,359,060"
10/01/2016,Federal,Onshore,Coal Prod Vol (ton),"30,281,973"
10/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"282,289,757"
10/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"14,511,604"
10/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,317,886"
10/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"26,968,786"
