Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2013,BENSON-MONTIN-GREER DRILLING CORP,ONRR - Other Revenues,Oil & Gas,106991.98
2013,BENSON-MONTIN-GREER DRILLING CORP,ONRR - Royalties,Gas,1008817.9
2013,BENSON-MONTIN-GREER DRILLING CORP,ONRR - Royalties,Oil,1028275.6
2013,BENSON-MONTIN-GREER DRILLING CORP,ONRR/BLM - Rents,Oil & Gas,3813
2013,BENTONITE PERFORMANCE MINERALS LLC,BLM - Permit Fees,Locatable Minerals,225601
2013,BERENERGY CORP,BLM - Permit Fees,Oil & Gas,6500
2013,BERENERGY CORP,ONRR - Other Revenues,Oil & Gas,523.24
2013,BERENERGY CORP,ONRR - Royalties,Gas,193172.26
2013,BERENERGY CORP,ONRR - Royalties,Oil,68672.04
2013,BERENERGY CORP,ONRR/BLM - Rents,Oil & Gas,1120
2013,BET ASSOCIATES IV LLC,OSMRE - AML Fees including Audits and Late Charges ,Coal,150873.15
2013,BETA OPERATING CO LLC,ONRR - Civil Penalties,N/A,30000
2013,BETA OPERATING CO LLC,ONRR - Inspection Fees,Oil & Gas,50100
2013,BETA OPERATING CO LLC,ONRR - Royalties,Oil,34524340.11
2013,BHP BILLITON LTD,BLM - Permit Fees,Locatable Minerals,92029
2013,BHP BILLITON LTD,BLM - Permit Fees,Oil & Gas,615
2013,BHP BILLITON LTD,ONRR - Inspection Fees,Oil & Gas,505980.11
2013,BHP BILLITON LTD,ONRR - Other Revenues,Coal,25449.02
2013,BHP BILLITON LTD,ONRR - Other Revenues,N/A,2112.48
2013,BHP BILLITON LTD,ONRR - Other Revenues,Oil & Gas,162636.82
2013,BHP BILLITON LTD,ONRR - Royalties,Coal,14827533.41
2013,BHP BILLITON LTD,ONRR - Royalties,Gas,9202424.26
2013,BHP BILLITON LTD,ONRR - Royalties,Oil,266913554.9
2013,BHP BILLITON LTD,ONRR/BLM - Bonus,Oil & Gas,121705398
2013,BHP BILLITON LTD,ONRR/BLM - Rents,Coal,52716
2013,BHP BILLITON LTD,ONRR/BLM - Rents,Oil & Gas,11478349
2013,BHP BILLITON LTD,OSMRE - AML Fees including Audits and Late Charges ,Coal,2895555.16
2013,BILL BARRETT CORP,BLM - Permit Fees,Oil & Gas,386735
2013,BILL BARRETT CORP,ONRR - Other Revenues,Oil & Gas,-2536704.98
2013,BILL BARRETT CORP,ONRR - Royalties,Gas,18906767.74
2013,BILL BARRETT CORP,ONRR - Royalties,Oil,10042925.95
2013,BILL BARRETT CORP,ONRR/BLM - Bonus,Oil & Gas,54730
2013,BILL BARRETT CORP,ONRR/BLM - Rents,Oil & Gas,364275
2013,BIRMINGHAM COAL & COKE CO INC,OSMRE - AML Fees including Audits and Late Charges ,Coal,144699.03
2013,BISSELL EXPLORATION LLC,BLM - Permit Fees,Oil & Gas,85
2013,BISSELL EXPLORATION LLC,ONRR/BLM - Rents,Oil & Gas,273088.5
2013,BLACK BEAR OIL CORP,BLM - Permit Fees,Oil & Gas,255
2013,BLACK BEAR OIL CORP,ONRR - Other Revenues,Oil & Gas,-5543.51
2013,BLACK BEAR OIL CORP,ONRR - Royalties,Gas,79048.28
2013,BLACK BEAR OIL CORP,ONRR - Royalties,Oil,1124104.06
2013,BLACK BEAR OIL CORP,ONRR/BLM - Rents,Oil & Gas,1022
2013,BLACK DIAMOND MINERALS LLC,BLM - Permit Fees,Oil & Gas,845
2013,BLACK DIAMOND MINERALS LLC,ONRR - Other Revenues,Oil & Gas,6762.2
2013,BLACK DIAMOND MINERALS LLC,ONRR - Royalties,Gas,245309.88
2013,BLACK DIAMOND MINERALS LLC,ONRR - Royalties,Oil,46924.05
2013,BLACK DIAMOND MINERALS LLC,ONRR/BLM - Rents,Oil & Gas,169118.5
2013,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,ONRR - Civil Penalties,N/A,351250
2013,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,ONRR - Inspection Fees,Oil & Gas,1662900
2013,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,ONRR - Other Revenues,N/A,11712.82
2013,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,ONRR - Other Revenues,Oil & Gas,-123200.84
2013,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,ONRR - Royalties,Gas,10305139.55
2013,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,ONRR - Royalties,Oil,32309483.97
2013,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,ONRR/BLM - Rents,Oil & Gas,12330
2013,BLACK HILLS CORP,BLM - Permit Fees,Oil & Gas,21824
2013,BLACK HILLS CORP,ONRR - Other Revenues,Oil & Gas,-8923.73
2013,BLACK HILLS CORP,ONRR - Royalties,Coal,7350396.81
2013,BLACK HILLS CORP,ONRR - Royalties,Gas,1352588.87
2013,BLACK HILLS CORP,ONRR - Royalties,Oil,1590185.24
2013,BLACK HILLS CORP,ONRR/BLM - Rents,Coal,10014
2013,BLACK HILLS CORP,ONRR/BLM - Rents,Oil & Gas,29127
2013,BLACK HILLS CORP,OSMRE - AML Fees including Audits and Late Charges ,Coal,1209461.12
2013,BLACK PANTHER MINING LLC,OSMRE - AML Fees including Audits and Late Charges ,Coal,412822
2013,BLACK STALLION COAL CO LLC,OSMRE - AML Fees including Audits and Late Charges ,Coal,138369.89
2013,BLACK WARRIOR MINERALS INC,OSMRE - AML Fees including Audits and Late Charges ,Coal,123866.01
2013,BLACK WOLF MINING CO,OSMRE - AML Fees including Audits and Late Charges ,Coal,155222.75
2013,BLAIR HOUSE LLC,BLM - Permit Fees,Oil & Gas,1950
2013,BLAIR HOUSE LLC,ONRR/BLM - Bonus,Oil & Gas,125692
2013,BLAIR HOUSE LLC,ONRR/BLM - Rents,Oil & Gas,6489
2013,BLEDSOE COAL,ONRR - Royalties,Coal,1499102.72
2013,BLEDSOE COAL,ONRR/BLM - Rents,Coal,8592
2013,BLEDSOE COAL,OSMRE - AML Fees including Audits and Late Charges ,Coal,7281.58
2013,BLUE MOUNTAIN ENERGY INC,BLM - Permit Fees,Coal,491.81
2013,BLUE MOUNTAIN ENERGY INC,ONRR - Royalties,Coal,1197051.16
2013,BLUE MOUNTAIN ENERGY INC,ONRR/BLM - Bonus,Coal,1278000
2013,BLUE MOUNTAIN ENERGY INC,ONRR/BLM - Rents,Coal,9465
2013,BLUE MOUNTAIN ENERGY INC,OSMRE - AML Fees including Audits and Late Charges ,Coal,230340.12
2013,BLUE TIP ENERGY LLC,BLM - Permit Fees,Oil & Gas,13085
2013,BLUE TIP ENERGY LLC,ONRR - Other Revenues,Oil & Gas,31790.96
2013,BLUE TIP ENERGY LLC,ONRR - Royalties,Gas,92702.04
2013,BLUE TIP ENERGY LLC,ONRR/BLM - Rents,Oil & Gas,14582
2013,BLUESTONE COAL CORP,OSMRE - AML Fees including Audits and Late Charges ,Coal,151703.02
2013,BLUEWATER WIND DELAWARE LLC,ONRR/BLM - Bonus,Wind,24107.5
2013,BLUEWATER WIND DELAWARE LLC,ONRR/BLM - Rents,Wind,578580
2013,BML INC,ONRR - Other Revenues,Oil & Gas,238.31
2013,BML INC,ONRR - Royalties,Oil,942155.07
2013,BNI COAL LTD,BLM - Permit Fees,Coal,320
2013,BNI COAL LTD,ONRR - Royalties,Coal,360930.22
2013,BNI COAL LTD,ONRR/BLM - Rents,Coal,8886
2013,BNI COAL LTD,OSMRE - AML Fees including Audits and Late Charges ,Coal,327242.32
2013,BOIS D ARC EXPLORATION LLC,ONRR - Civil Penalties,N/A,20000
2013,BOIS D ARC EXPLORATION LLC,ONRR - Inspection Fees,Oil & Gas,77300
2013,BOIS D ARC EXPLORATION LLC,ONRR/BLM - Rents,Oil & Gas,210270
2013,BONANZA CREEK ENERGY OPERATING CO LLC,ONRR - Other Revenues,Oil & Gas,12748.99
2013,BONANZA CREEK ENERGY OPERATING CO LLC,ONRR - Royalties,Gas,60911.97
2013,BONANZA CREEK ENERGY OPERATING CO LLC,ONRR - Royalties,Oil,493043.7
2013,BONANZA CREEK ENERGY OPERATING CO LLC,ONRR - Royalties,Other Commodities,18266.08
2013,BONANZA CREEK ENERGY OPERATING CO LLC,ONRR/BLM - Rents,Oil & Gas,42936.85
